festival_year	credit_card	debit_card	e_banking	total_earnings
2027	6,218.40$	6,970.80$	6,211.40$	19,400.60$
2026	18,777.40$	15,221.70$	15,955.20$	49,954.30$
2025	15,131.50$	14,912.00$	13,328.90$	43,372.40$
2024	11,845.50$	9,603.20$	15,915.70$	37,364.40$
2023	8,201.60$	6,935.00$	7,843.00$	22,979.60$
2022	13,620.00$	15,397.00$	14,047.90$	43,064.90$
2021	4,216.60$	4,821.60$	5,984.70$	15,022.90$
2020	10,504.50$	12,413.00$	11,663.90$	34,581.40$
2019	17,581.00$	17,567.90$	17,763.50$	52,912.40$
2018	12,225.50$	13,196.80$	11,997.50$	37,419.80$
2017	9,211.80$	10,660.60$	10,325.30$	30,197.70$
2016	20,427.60$	23,433.40$	20,742.20$	64,603.20$
