visitor_id	festival_year	event_visited
27	2016	4
205	2016	4
265	2016	4
393	2016	4
85	2016	4
340	2016	4
123	2016	4
199	2016	4
237	2016	4
41	2016	4
91	2016	4
255	2016	4
254	2016	4
336	2016	4
162	2016	4
190	2016	4
242	2016	5
271	2016	5
312	2016	5
197	2016	6
122	2016	6
245	2018	4
317	2018	4
206	2018	4
41	2019	4
146	2019	4
225	2019	4
151	2019	4
277	2019	4
196	2019	4
275	2019	4
61	2019	5
390	2019	5
72	2019	5
351	2019	5
79	2022	4
205	2022	4
231	2022	4
394	2022	4
120	2022	4
76	2022	4
197	2022	4
150	2023	4
39	2023	4
295	2024	4
47	2024	4
