event_date	technical_staff	security_staff	support_staff
2016-09-24	14	5	6
2016-09-25	5	13	9
2016-09-26	5	6	1
2016-09-27	9	8	1
2016-09-28	9	5	5
2016-09-29	14	15	10
2016-09-30	14	17	9
2016-10-01	9	6	1
2016-10-02	15	14	3
2016-10-03	12	6	1
2016-10-04	14	17	9
2017-04-09	6	1	1
2017-04-10	15	2	8
2017-04-11	14	17	9
2017-04-12	5	6	1
2017-04-13	15	2	8
2017-04-14	14	17	9
2017-04-15	14	17	9
2018-11-11	10	10	10
2018-11-12	10	10	10
2018-11-13	10	10	10
2018-11-14	10	10	10
2018-11-15	10	10	10
2018-11-16	10	10	10
2018-11-17	10	10	10
2019-10-22	9	11	2
2019-10-23	11	20	3
2019-10-24	7	29	1
2019-10-25	10	10	10
2019-10-26	11	20	3
2019-10-27	10	10	10
2019-10-28	11	20	3
2019-10-29	9	11	2
2019-10-30	10	10	10
2020-05-02	15	2	8
2020-05-03	14	30	5
2020-05-04	15	2	8
2020-05-05	14	30	5
2020-05-06	15	2	8
2021-10-05	15	2	8
2021-10-06	15	2	8
2021-10-07	15	2	8
2022-10-18	11	20	3
2022-10-19	14	30	5
2022-10-20	14	28	6
2022-10-21	11	20	3
2022-10-22	14	28	6
2022-10-23	14	30	5
2022-10-24	14	28	6
2022-10-25	11	20	3
2022-10-26	14	30	5
2023-08-05	10	3	1
2023-08-06	10	3	1
2023-08-07	10	3	1
2023-08-08	10	3	1
2023-08-09	10	3	1
2023-08-10	10	3	1
2023-08-11	10	3	1
2024-06-15	14	15	10
2024-06-16	9	25	1
2024-06-17	10	10	10
2024-06-18	9	25	1
2024-06-19	10	10	10
2024-06-20	10	10	10
2024-06-21	9	25	1
2025-08-04	8	19	6
2025-08-05	5	17	2
2025-08-06	5	17	2
2025-08-07	5	17	2
2025-08-08	5	17	2
2025-08-09	5	17	2
2025-08-10	5	17	2
2025-08-11	8	19	6
2025-08-12	8	19	6
2026-09-12	12	13	6
2026-09-13	14	15	10
2026-09-14	9	8	1
2026-09-15	5	17	2
2026-09-16	9	8	1
2026-09-17	5	17	2
2026-09-18	12	13	6
2026-09-19	9	8	1
2026-09-20	5	17	2
2026-09-21	5	17	2
2027-10-11	14	28	6
2027-10-12	9	25	1
2027-10-13	14	15	10
