first_name	last_name	performances_across_continents
The	Weeknd	5
Drake	Drake	5
Ariana	Grande	5
George	Michael	4
Bruno	Mars	4
Jay-Z	Jay-Z	4
Adele	Adele	4
Bruce	Springsteen	4
Rihanna	Rihanna	4
Tyler,	Creator	4
Future	Future	4
Frank	Sinatra	4
Billy	Joel	4
Elton	John	4
Bob	Dylan	4
Madonna	Madonna	4
Bob	Marley	4
Whitney	Houston	4
John	Lennon	4
Travis	Scott	4
Jeff	Buckley	3
Kendrick	Lamar	3
Kanye	West	3
Frank	Ocean	3
A$AP	Rocky	3
Prince	Prince	3
David	Bowie	3
Michael	Jackson	3
Amy	Winehouse	3
Freddie	Mercury	3
Bryan	Adams	3
